user,date,login_hour,files_accessed,failed_logins,data_downloaded_mb,prediction,status,anomaly_score
user_03,2026-01-12,8,26,0,376,1,Normal,0.03841312140197389
user_02,2026-04-24,1,276,5,3234,-1,Anomaly,-0.14216102510695328
user_01,2026-04-05,17,40,0,270,1,Normal,0.07201289313194853
user_03,2026-04-04,20,7,1,157,1,Normal,0.02031075774429736
user_01,2026-04-01,20,40,1,367,1,Normal,0.027726367112537842
user_02,2026-02-11,20,16,1,62,1,Normal,0.005678145382787769
user_03,2026-04-16,20,47,2,465,-1,Anomaly,-0.012625541004946061
user_02,2026-06-29,9,29,0,489,1,Normal,0.048198425366894726
user_02,2026-04-28,2,202,6,2141,-1,Anomaly,-0.08256299882669793
user_01,2026-03-13,13,46,2,254,1,Normal,0.09064767225373815
user_05,2026-03-26,8,12,1,141,1,Normal,0.056047096983324385
user_03,2026-01-10,9,43,1,226,1,Normal,0.06521805497705047
user_03,2026-04-22,17,37,0,247,1,Normal,0.06789115834227799
user_02,2026-03-07,8,50,1,50,1,Normal,0.004658828871448861
user_05,2026-06-25,19,47,0,236,1,Normal,0.03426123073516241
user_03,2026-06-09,13,47,0,418,1,Normal,0.05699068368886395
user_05,2026-03-21,18,31,1,256,1,Normal,0.10348238244978203
user_05,2026-02-02,11,31,2,244,1,Normal,0.10551139840451768
user_02,2026-06-07,17,24,1,330,1,Normal,0.09023329212869863
user_03,2026-03-15,11,32,2,360,1,Normal,0.10187074836603788
user_04,2026-04-24,15,48,0,311,1,Normal,0.04518830041527544
user_02,2026-06-18,9,23,2,389,1,Normal,0.052376608199987296
user_03,2026-01-24,20,20,2,208,1,Normal,0.05937970804968734
user_02,2026-02-07,8,7,0,293,1,Normal,0.01505899491668694
user_01,2026-04-27,14,45,2,149,1,Normal,0.06725093659462705
user_04,2026-05-07,14,20,0,385,1,Normal,0.07924476698570898
user_01,2026-04-19,11,16,2,315,1,Normal,0.08412583333388002
user_05,2026-03-05,9,34,0,460,1,Normal,0.05850559885140916
user_05,2026-05-24,17,25,1,363,1,Normal,0.09286487052453596
user_05,2026-04-20,16,33,0,430,1,Normal,0.05540137119987165
user_04,2026-03-08,20,20,2,191,1,Normal,0.062160394381960415
user_05,2026-05-05,3,160,6,2375,-1,Anomaly,-0.09352312775377403
user_03,2026-05-19,9,13,0,168,1,Normal,0.043426430314958575
user_02,2026-06-30,11,9,1,258,1,Normal,0.07921229300699417
user_04,2026-04-17,8,18,1,249,1,Normal,0.0646475683489453
user_05,2026-06-28,3,176,10,2597,-1,Anomaly,-0.12000698267917675
user_04,2026-05-18,19,39,2,162,1,Normal,0.05604993457351465
user_03,2026-04-22,15,6,1,222,1,Normal,0.0694437752901994
user_04,2026-02-12,4,251,8,3715,-1,Anomaly,-0.08741625775266759
user_01,2026-01-22,18,32,0,493,1,Normal,0.033047870249598654
user_01,2026-03-08,14,25,0,282,1,Normal,0.09139147987573276
user_04,2026-03-13,1,291,8,1213,-1,Anomaly,-0.18385321388925502
user_03,2026-02-27,18,9,2,70,1,Normal,0.02271448756306582
user_02,2026-02-21,8,44,0,172,1,Normal,0.033257708089938776
user_01,2026-05-25,11,34,2,181,1,Normal,0.09787510658908194
user_02,2026-06-05,17,50,0,448,1,Normal,0.00027469810328573097
user_03,2026-01-28,17,6,1,344,1,Normal,0.04954506633032307
user_04,2026-04-12,19,17,0,353,1,Normal,0.053309260512493684
user_02,2026-01-27,19,24,2,357,1,Normal,0.07338963031666629
user_05,2026-01-11,13,39,1,388,1,Normal,0.100831480752819
user_05,2026-06-15,13,5,1,471,1,Normal,0.03872360228731997
user_04,2026-04-03,18,34,2,128,1,Normal,0.07350559460646594
user_05,2026-06-16,12,44,2,446,1,Normal,0.0750083653387964
user_04,2026-06-01,12,25,0,475,1,Normal,0.06455453296131408
user_03,2026-04-26,11,34,2,362,1,Normal,0.10201431584929765
user_03,2026-01-08,15,25,0,299,1,Normal,0.085186374666963
user_03,2026-03-29,12,43,2,500,1,Normal,0.06107170094977421
user_01,2026-05-13,11,10,0,418,1,Normal,0.05033947425838059
user_05,2026-03-03,19,35,2,414,1,Normal,0.0601047319014561
user_01,2026-01-24,12,19,1,404,1,Normal,0.09399418272551019
user_05,2026-04-05,15,40,2,226,1,Normal,0.0951961859214332
user_05,2026-03-26,13,49,1,188,1,Normal,0.08122184743732885
user_02,2026-01-31,19,17,1,111,1,Normal,0.05653870770543068
user_02,2026-02-19,11,35,1,420,1,Normal,0.09129751131985969
user_05,2026-06-02,12,11,0,201,1,Normal,0.054873447559859456
user_02,2026-03-19,8,50,2,114,1,Normal,0.013648334196707523
user_01,2026-05-22,12,49,0,376,1,Normal,0.06151246323794035
user_04,2026-01-27,8,41,1,290,1,Normal,0.06616101738166585
user_03,2026-02-17,8,21,1,108,1,Normal,0.06162822014984104
user_04,2026-05-06,2,244,6,1348,-1,Anomaly,-0.10064401962607628
user_02,2026-01-31,16,31,2,355,1,Normal,0.10203559165309917
user_02,2026-05-14,14,33,1,202,1,Normal,0.11072006885544611
user_04,2026-03-20,17,44,0,362,1,Normal,0.05643174610226642
user_01,2026-02-23,2,144,8,1307,-1,Anomaly,-0.11479178722268335
user_02,2026-01-01,14,33,2,354,1,Normal,0.10312138975247886
user_01,2026-03-01,12,50,1,409,1,Normal,0.07546262723366298
user_01,2026-06-25,11,21,2,351,1,Normal,0.09983523010333306
user_02,2026-04-19,9,39,0,381,1,Normal,0.07279308696470749
user_03,2026-02-06,9,8,0,455,1,Normal,0.03654950766606785
user_05,2026-03-15,15,12,1,402,1,Normal,0.06253468368779863
user_04,2026-03-11,1,210,9,2320,-1,Anomaly,-0.13695162405321593
user_05,2026-03-06,8,10,0,395,1,Normal,0.012771964051788376
user_05,2026-05-31,2,220,8,3668,-1,Anomaly,-0.07969958852494907
user_04,2026-03-13,10,42,1,375,1,Normal,0.09037143727163122
user_01,2026-05-01,13,31,1,214,1,Normal,0.10989078922530537
user_02,2026-03-26,14,49,1,197,1,Normal,0.07624141970097342
user_04,2026-05-21,8,34,0,211,1,Normal,0.04476530233987619
user_01,2026-04-14,16,5,2,495,1,Normal,0.02242315777363224
user_04,2026-01-14,11,38,1,368,1,Normal,0.09767402387167368
user_04,2026-01-14,11,22,2,117,1,Normal,0.08021292304165828
user_04,2026-06-28,15,12,0,372,1,Normal,0.05564915676199039
user_02,2026-02-10,12,40,0,332,1,Normal,0.08482575774593604
user_02,2026-01-30,15,12,2,476,1,Normal,0.04949508934985575
user_03,2026-05-11,19,22,1,477,1,Normal,0.047034113571784386
user_04,2026-03-04,15,40,0,246,1,Normal,0.06798564623958231
user_05,2026-05-11,19,13,0,191,1,Normal,0.03799017230462426
user_04,2026-03-29,3,250,8,3703,-1,Anomaly,-0.0858433244155894
user_04,2026-02-08,15,39,1,226,1,Normal,0.08936679412353832
user_05,2026-04-07,15,25,0,407,1,Normal,0.0755593371243346
user_04,2026-03-01,20,31,0,212,1,Normal,0.04025146535205204
user_04,2026-04-09,18,46,0,303,1,Normal,0.05100576435432275
user_02,2026-05-09,17,26,0,497,1,Normal,0.033273511811751866
user_01,2026-05-15,15,5,2,123,1,Normal,0.048771461834828056
user_02,2026-01-20,15,21,1,369,1,Normal,0.09518060730988054
user_01,2026-03-26,18,39,1,212,1,Normal,0.08388302662283997
user_04,2026-05-19,8,44,0,170,1,Normal,0.03291723817253023
user_03,2026-02-28,19,10,1,100,1,Normal,0.03909809040903095
user_01,2026-04-24,1,175,6,2535,-1,Anomaly,-0.12042369974220024
user_04,2026-02-07,11,38,1,339,1,Normal,0.09781250653130436
user_02,2026-02-13,10,10,2,495,1,Normal,0.023709120780254334
user_02,2026-05-08,17,14,0,286,1,Normal,0.059848765865558984
user_04,2026-03-07,18,5,1,197,1,Normal,0.05013404195638094
user_02,2026-01-19,15,27,2,203,1,Normal,0.10703629091644196
user_04,2026-06-26,12,34,1,151,1,Normal,0.09193046151263207
user_04,2026-01-28,11,29,2,233,1,Normal,0.10487582476769924
user_03,2026-01-06,18,30,1,54,1,Normal,0.04345338624839018
user_01,2026-06-05,19,36,1,447,1,Normal,0.04931694842427181
user_05,2026-04-01,11,45,0,367,1,Normal,0.061204934186887716
user_02,2026-06-10,9,45,2,70,1,Normal,0.02297063572051583
user_04,2026-01-09,3,183,9,2701,-1,Anomaly,-0.09179021864765413
user_02,2026-02-21,10,39,1,321,1,Normal,0.09293650279982907
user_03,2026-02-12,12,35,1,432,1,Normal,0.09509027426248923
user_01,2026-04-30,9,14,0,490,1,Normal,0.02832769899928378
user_04,2026-05-23,13,10,1,57,1,Normal,0.04686856241974957
user_01,2026-04-27,13,48,2,394,1,Normal,0.08627382443608894
user_04,2026-06-13,13,11,2,169,1,Normal,0.08085092636601254
user_05,2026-05-24,4,279,6,3659,-1,Anomaly,-0.12369849248781661
user_04,2026-01-30,10,7,0,205,1,Normal,0.040483028621610906
user_01,2026-01-25,11,39,0,248,1,Normal,0.073599023315021
user_05,2026-04-18,4,257,7,4846,-1,Anomaly,-0.12374169631457421
user_03,2026-01-09,19,28,0,277,1,Normal,0.07562478331844125
user_02,2026-04-03,9,48,1,328,1,Normal,0.056880736257360676
user_03,2026-01-16,14,22,0,112,1,Normal,0.06788587130091711
user_04,2026-01-24,18,18,2,377,1,Normal,0.08250953616318529
user_01,2026-01-13,20,26,0,114,1,Normal,0.028051736017327356
user_02,2026-01-18,20,40,0,350,1,Normal,0.018893628265007623
user_02,2026-03-26,20,14,2,51,-1,Anomaly,-0.008510156847377104
user_02,2026-02-03,16,21,0,106,1,Normal,0.05875509304123011
user_01,2026-02-03,8,27,0,351,1,Normal,0.04097142788621261
user_02,2026-03-09,8,13,2,265,1,Normal,0.02705933548292283
user_01,2026-05-02,15,28,2,353,1,Normal,0.10192203268377653
user_05,2026-02-26,17,7,2,451,1,Normal,0.042285057437567664
user_05,2026-03-19,15,46,0,81,1,Normal,0.026161855253169164
user_04,2026-04-20,18,11,1,414,1,Normal,0.05806020331305056
user_01,2026-01-21,13,43,0,83,1,Normal,0.0462708108060943
user_05,2026-06-12,17,40,2,216,1,Normal,0.08422122890941464
user_05,2026-05-16,12,34,2,359,1,Normal,0.10280046616578559
user_01,2026-06-17,18,40,2,493,1,Normal,0.03723753322500151
user_04,2026-02-28,14,26,1,254,1,Normal,0.10878777403207701
user_01,2026-03-22,14,25,2,180,1,Normal,0.1060614387179103
user_02,2026-06-25,4,124,9,4026,-1,Anomaly,-0.12162274136506579
user_03,2026-02-03,16,8,2,337,1,Normal,0.07123355101525891
user_01,2026-04-16,13,47,1,494,1,Normal,0.05013099829692136
user_01,2026-03-15,17,24,1,103,1,Normal,0.07422998452863844
user_02,2026-02-09,18,35,0,483,1,Normal,0.04151133010780089
user_05,2026-04-05,9,22,2,165,1,Normal,0.06107155349959753
user_05,2026-06-09,3,107,5,2119,-1,Anomaly,-0.11062117945087735
user_03,2026-03-28,13,5,0,495,-1,Anomaly,-0.0024722829295716897
user_04,2026-01-18,10,45,0,96,1,Normal,0.02903880670920278
user_02,2026-04-07,14,34,1,130,1,Normal,0.09089253770091504
user_03,2026-05-26,17,10,0,129,1,Normal,0.03410461044626978
user_05,2026-01-13,18,10,1,276,1,Normal,0.07881003255219554
user_04,2026-06-05,15,31,1,160,1,Normal,0.10178895531644588
user_01,2026-03-30,14,12,1,397,1,Normal,0.06619312860908477
user_04,2026-05-15,18,24,0,162,1,Normal,0.06364518081321585
user_05,2026-01-15,8,18,1,158,1,Normal,0.07016632860167638
user_03,2026-03-16,13,12,0,304,1,Normal,0.07055834100445263
user_02,2026-02-03,14,39,2,167,1,Normal,0.09176299344883482
user_03,2026-01-19,14,7,1,59,1,Normal,0.036322949096975365
user_01,2026-03-22,17,32,2,257,1,Normal,0.0948003558334905
user_04,2026-03-16,9,30,0,216,1,Normal,0.07253322643548482
user_05,2026-04-28,19,28,0,273,1,Normal,0.07667040091117283
user_02,2026-04-22,17,30,2,90,1,Normal,0.0685571377225263
user_03,2026-03-28,11,26,0,89,1,Normal,0.05441407192999842
user_01,2026-05-16,16,17,1,229,1,Normal,0.0896149483392934
user_02,2026-03-02,9,14,1,151,1,Normal,0.0652920216547217
user_02,2026-06-17,9,16,2,302,1,Normal,0.052206578164867734
user_05,2026-05-29,15,48,2,379,1,Normal,0.0726703661716881
user_05,2026-03-24,4,261,6,4261,-1,Anomaly,-0.10776545724448205
user_03,2026-06-01,8,27,2,87,1,Normal,0.03871364253795284
user_04,2026-01-10,8,28,1,89,1,Normal,0.061122893382857924
user_01,2026-06-07,17,37,1,286,1,Normal,0.09108478200745623
user_01,2026-04-26,20,41,2,146,1,Normal,0.023480735948596676
user_04,2026-05-09,10,8,1,102,1,Normal,0.049642834012546766
user_03,2026-01-22,16,46,0,70,1,Normal,0.009780481659779072
user_04,2026-04-23,16,38,2,131,1,Normal,0.07636081713763904
user_03,2026-04-10,3,116,6,1387,-1,Anomaly,-0.11326739866642799
user_05,2026-06-23,14,23,1,420,1,Normal,0.09934240416401457
user_05,2026-02-08,13,10,2,389,1,Normal,0.07209483699195135
user_03,2026-03-21,18,49,2,250,1,Normal,0.05162657385413011
user_01,2026-03-21,16,29,2,455,1,Normal,0.08128380058725604
user_02,2026-06-21,19,48,2,97,1,Normal,0.020540365587686682
user_04,2026-05-11,13,6,1,208,1,Normal,0.07523986078257933
user_02,2026-03-29,20,36,0,165,1,Normal,0.028393447094171465
user_02,2026-01-20,12,11,2,444,1,Normal,0.06319583056872274
user_05,2026-01-10,18,26,2,117,1,Normal,0.08131116730097132
user_02,2026-02-11,10,49,2,464,1,Normal,0.045168333284789475
user_04,2026-01-12,14,28,2,418,1,Normal,0.09538940680007235
user_04,2026-06-06,12,33,0,323,1,Normal,0.08612101305588438
user_04,2026-02-19,13,48,2,275,1,Normal,0.0878575424583497
user_03,2026-04-08,16,38,1,132,1,Normal,0.0743677369849502
user_05,2026-02-05,12,8,2,296,1,Normal,0.06933670847368295
user_05,2026-01-27,2,169,7,4708,-1,Anomaly,-0.13060414907740925
user_05,2026-02-07,14,10,0,468,1,Normal,0.04039682680063533
user_03,2026-01-07,14,8,1,307,1,Normal,0.07632426305526852
user_04,2026-01-21,13,19,0,213,1,Normal,0.07943927721626937
user_03,2026-02-07,10,7,1,474,1,Normal,0.03675204308967822
user_02,2026-06-30,15,33,2,52,1,Normal,0.04466847219912051
user_01,2026-03-07,11,14,2,422,1,Normal,0.0724496158804197
user_04,2026-01-29,20,23,0,204,1,Normal,0.034529224908040446
user_02,2026-04-18,18,44,1,82,1,Normal,0.03880992263150268
user_04,2026-06-02,16,6,2,313,1,Normal,0.0638428030252669
user_02,2026-03-16,14,5,2,230,1,Normal,0.06304931744189829
user_04,2026-02-17,18,47,0,318,1,Normal,0.049040658780761526
user_01,2026-05-15,4,111,9,2584,-1,Anomaly,-0.1156782381885233
user_03,2026-03-06,2,287,9,3573,-1,Anomaly,-0.13315545882956115
user_01,2026-05-29,19,26,0,72,1,Normal,0.04155172770843102
user_03,2026-06-14,10,48,1,406,1,Normal,0.07288181486219353
user_02,2026-02-04,9,50,1,68,1,Normal,0.031181560739855785
user_01,2026-02-21,8,25,1,313,1,Normal,0.0646072032682532
user_05,2026-05-02,12,7,2,147,1,Normal,0.060553412130250284
user_01,2026-06-17,13,22,0,459,1,Normal,0.06711712873983727
user_04,2026-04-23,14,26,0,304,1,Normal,0.09308806937246766
user_03,2026-05-13,5,146,8,2203,-1,Anomaly,-0.09710676393418705
user_03,2026-01-27,9,25,2,201,1,Normal,0.07295784402781785
user_05,2026-04-20,10,49,1,229,1,Normal,0.06607050824818311
user_03,2026-06-07,14,22,2,455,1,Normal,0.07896285934336666
user_01,2026-06-21,18,30,1,312,1,Normal,0.09990847535838915
user_02,2026-01-08,10,43,2,450,1,Normal,0.0694418040980212
user_02,2026-01-18,11,46,1,235,1,Normal,0.07850800117788276
user_05,2026-01-09,17,14,2,280,1,Normal,0.08278965482814732
user_03,2026-04-24,20,9,2,120,1,Normal,0.01983653368419247
user_04,2026-03-22,2,227,8,2585,-1,Anomaly,-0.08799145871159753
user_05,2026-01-31,12,21,2,278,1,Normal,0.10094863163196138
user_05,2026-03-15,19,36,0,112,1,Normal,0.04462991610506184
user_01,2026-04-26,10,50,1,94,1,Normal,0.05074243503941783
user_03,2026-06-20,13,50,0,331,1,Normal,0.056401184882605204
user_03,2026-02-10,19,50,2,376,1,Normal,0.028817164547308427
user_03,2026-05-11,11,12,0,455,1,Normal,0.05062739227637114
user_04,2026-01-07,13,40,2,238,1,Normal,0.09866648721322724
user_05,2026-02-03,17,10,0,208,1,Normal,0.04863453557121605
user_04,2026-05-15,14,31,2,87,1,Normal,0.07639599077387133
user_03,2026-06-14,9,33,1,398,1,Normal,0.07889936935158781
user_02,2026-05-22,18,42,0,443,1,Normal,0.042372325530317834
user_04,2026-05-09,8,12,2,128,1,Normal,0.0287837619394129
user_02,2026-03-24,19,19,1,315,1,Normal,0.06582151309331274
user_01,2026-03-06,11,45,2,190,1,Normal,0.07935541520131512
user_03,2026-06-07,16,10,2,378,1,Normal,0.0761510946050784
user_05,2026-02-09,10,47,2,418,1,Normal,0.07107375637531327
user_03,2026-05-25,8,6,0,73,-1,Anomaly,-0.02376439373918615
user_05,2026-03-09,18,18,2,263,1,Normal,0.08274319183910578
user_01,2026-05-08,18,39,1,378,1,Normal,0.07673485410321207
user_04,2026-03-04,20,48,1,202,1,Normal,0.014823581750285642
user_01,2026-02-10,15,31,1,287,1,Normal,0.10631093066831715
user_05,2026-02-06,13,50,1,425,1,Normal,0.0664819521218536
user_03,2026-04-13,10,28,2,337,1,Normal,0.08952627778898398
user_02,2026-04-30,9,22,1,176,1,Normal,0.0822174116554733
user_01,2026-03-16,14,44,1,177,1,Normal,0.08290516019025901
user_02,2026-03-25,17,25,0,440,1,Normal,0.058520172523382874
user_05,2026-04-30,4,229,7,4959,-1,Anomaly,-0.11996711380297531
user_02,2026-02-25,17,27,0,75,1,Normal,0.0522205357413838
user_05,2026-06-17,1,210,5,4614,-1,Anomaly,-0.1442690936185861
user_03,2026-04-04,20,30,1,73,1,Normal,0.02525423768046442
user_05,2026-05-24,5,215,10,3252,-1,Anomaly,-0.14631451948048801
user_03,2026-06-09,18,44,0,115,1,Normal,0.040672823239333744
user_04,2026-04-06,20,26,2,237,1,Normal,0.061961804761302475
user_02,2026-06-04,2,282,6,4293,-1,Anomaly,-0.1279820356627016
user_04,2026-05-13,15,14,2,313,1,Normal,0.08690313502317837
user_05,2026-03-23,10,30,2,428,1,Normal,0.08371133474899356
user_05,2026-03-28,16,37,2,300,1,Normal,0.09423016338568801
user_03,2026-05-02,8,28,1,394,1,Normal,0.06213893035008722
user_04,2026-05-30,12,49,2,63,1,Normal,0.04140236306361594
user_03,2026-06-17,20,42,2,166,1,Normal,0.024130599371229522
user_05,2026-05-03,10,38,2,419,1,Normal,0.08364285045835207
user_04,2026-02-07,18,20,0,343,1,Normal,0.07035815225090303
user_01,2026-02-18,8,33,1,264,1,Normal,0.0722523697561232
user_02,2026-04-16,16,44,1,496,1,Normal,0.03851018580082394
user_01,2026-06-30,10,38,0,337,1,Normal,0.0768062713300976
user_04,2026-05-15,14,25,0,285,1,Normal,0.09041779600332855
user_03,2026-05-20,13,48,2,398,1,Normal,0.08627382443608894
user_03,2026-06-06,15,17,0,192,1,Normal,0.06548479297641707
user_02,2026-03-18,20,23,2,156,1,Normal,0.056744798090906656
user_04,2026-03-23,15,27,2,457,1,Normal,0.0759897731677423
user_03,2026-02-01,17,48,2,244,1,Normal,0.06474233778402505
user_04,2026-03-30,20,14,1,71,1,Normal,0.010899615947895569
user_01,2026-03-30,15,46,1,432,1,Normal,0.053712466751953736
user_02,2026-05-18,12,40,2,189,1,Normal,0.09420012364936242
user_05,2026-05-31,11,20,0,392,1,Normal,0.07532641037812543
user_02,2026-06-13,11,8,0,261,1,Normal,0.05429191801763528
user_04,2026-01-26,18,13,0,331,1,Normal,0.05832618464186784
user_02,2026-04-15,18,35,1,383,1,Normal,0.08173206399149269
user_03,2026-03-24,5,159,8,4025,-1,Anomaly,-0.10318731933728498
user_01,2026-02-14,14,16,0,478,1,Normal,0.04278378467674154
user_04,2026-02-17,19,23,0,54,1,Normal,0.01680466796178004
user_05,2026-01-28,13,23,1,378,1,Normal,0.10263809709328353
user_04,2026-02-04,16,34,1,148,1,Normal,0.08857682726075028
user_03,2026-02-11,19,34,2,181,1,Normal,0.06438571909710411
user_01,2026-03-28,20,23,2,395,1,Normal,0.044245431891423326
user_02,2026-06-06,18,30,1,313,1,Normal,0.0996374150523156
user_04,2026-06-21,9,16,0,294,1,Normal,0.0595592019392262
user_02,2026-01-02,12,29,0,278,1,Normal,0.08761741220715352
user_03,2026-03-19,17,41,0,183,1,Normal,0.05201107685666978
user_02,2026-01-16,18,12,1,207,1,Normal,0.07913441702963225
user_05,2026-06-30,20,24,2,110,1,Normal,0.04476602476747621
user_03,2026-04-05,17,19,0,118,1,Normal,0.05370422506573924
user_04,2026-06-05,13,31,2,331,1,Normal,0.10792373354270518
user_05,2026-06-20,11,20,2,436,1,Normal,0.0884262738862403
user_01,2026-05-15,5,128,4,4394,-1,Anomaly,-0.13736297125947816
user_05,2026-05-10,11,41,2,126,1,Normal,0.0774134730639473
user_05,2026-04-24,9,48,0,417,1,Normal,0.04458690470021537
user_01,2026-05-11,15,8,1,117,1,Normal,0.06158613782633804
user_04,2026-05-25,8,40,1,394,1,Normal,0.05771470481825525
user_01,2026-04-12,12,5,2,161,1,Normal,0.05802702927087633
user_01,2026-04-19,13,49,0,327,1,Normal,0.0600877356881222
user_01,2026-05-01,8,23,1,142,1,Normal,0.06967362890785217
user_04,2026-04-06,5,134,9,4523,-1,Anomaly,-0.1479544113129102
user_03,2026-01-31,10,39,1,320,1,Normal,0.09280070380776984
user_02,2026-01-01,20,6,1,287,1,Normal,0.018533857645486207
user_05,2026-04-19,16,29,0,176,1,Normal,0.0725222739788694
user_02,2026-03-12,11,12,0,464,1,Normal,0.04562051311965876
user_05,2026-01-05,11,18,0,101,1,Normal,0.04743669637946113
user_04,2026-06-03,18,50,0,175,1,Normal,0.014982844532444362
user_04,2026-04-23,11,39,0,436,1,Normal,0.06645317254260602
user_01,2026-02-05,16,23,0,467,1,Normal,0.0524269349828993
user_05,2026-03-23,17,43,2,469,1,Normal,0.04657229303155164
user_03,2026-02-06,18,38,0,261,1,Normal,0.07450193251308806
user_01,2026-05-23,17,16,2,397,1,Normal,0.07949965671194664
user_04,2026-01-13,13,46,2,245,1,Normal,0.08731011360408175
user_03,2026-06-28,14,31,0,203,1,Normal,0.07770173379379819
user_05,2026-05-02,11,19,1,489,1,Normal,0.06442292423232826
user_04,2026-01-15,16,31,1,335,1,Normal,0.09790236580251532
user_04,2026-03-04,4,194,4,3193,-1,Anomaly,-0.1110166615514061
user_02,2026-01-14,12,29,2,359,1,Normal,0.1058362098200118
user_01,2026-02-18,20,42,2,393,1,Normal,0.023546583173252533
user_04,2026-02-23,13,24,0,158,1,Normal,0.0727987070087775
user_01,2026-05-03,11,49,2,410,1,Normal,0.07696476663851459
user_02,2026-05-22,13,23,1,288,1,Normal,0.10733790579931585
user_03,2026-03-20,12,28,2,304,1,Normal,0.10906817651070655
user_04,2026-03-23,2,289,5,1066,-1,Anomaly,-0.16318420941529987
user_03,2026-05-22,17,42,2,263,1,Normal,0.08571906656099348
user_02,2026-03-26,11,29,2,476,1,Normal,0.07632624480376776
user_05,2026-06-17,18,26,1,440,1,Normal,0.08146387275069322
user_04,2026-04-28,10,27,0,121,1,Normal,0.05961247718381574
user_04,2026-02-17,1,271,4,4130,-1,Anomaly,-0.1555186576111891
user_01,2026-04-16,10,45,0,84,1,Normal,0.025434806653726105
user_01,2026-02-25,16,34,1,80,1,Normal,0.06698931908889671
user_05,2026-05-04,18,36,0,53,1,Normal,0.008570360673861965
user_04,2026-01-04,8,38,2,190,1,Normal,0.04083640995601717
