user,date,login_hour,files_accessed,failed_logins,data_downloaded_mb
user_05,2026-06-02,12,11,0,201
user_02,2026-03-19,8,50,2,114
user_01,2026-05-22,12,49,0,376
user_04,2026-01-27,8,41,1,290
user_03,2026-02-17,8,21,1,108
user_04,2026-05-06,2,244,6,1348
user_02,2026-01-31,16,31,2,355
user_02,2026-05-14,14,33,1,202
user_04,2026-03-20,17,44,0,362
user_01,2026-02-23,2,144,8,1307
user_02,2026-01-01,14,33,2,354
user_01,2026-03-01,12,50,1,409
user_01,2026-06-25,11,21,2,351
user_02,2026-04-19,9,39,0,381
user_03,2026-02-06,9,8,0,455
user_05,2026-03-15,15,12,1,402
user_04,2026-03-11,1,210,9,2320
user_05,2026-03-06,8,10,0,395
user_05,2026-05-31,2,220,8,3668
user_04,2026-03-13,10,42,1,375
user_01,2026-05-01,13,31,1,214
user_02,2026-03-26,14,49,1,197
user_04,2026-05-21,8,34,0,211
user_01,2026-04-14,16,5,2,495
user_04,2026-01-14,11,38,1,368
user_04,2026-01-14,11,22,2,117
user_04,2026-06-28,15,12,0,372
user_02,2026-02-10,12,40,0,332
user_02,2026-01-30,15,12,2,476
user_03,2026-05-11,19,22,1,477
user_04,2026-03-04,15,40,0,246
user_05,2026-05-11,19,13,0,191
user_04,2026-03-29,3,250,8,3703
user_04,2026-02-08,15,39,1,226
user_05,2026-04-07,15,25,0,407
user_04,2026-03-01,20,31,0,212
user_04,2026-04-09,18,46,0,303
user_02,2026-05-09,17,26,0,497
user_01,2026-05-15,15,5,2,123
user_02,2026-01-20,15,21,1,369
user_01,2026-03-26,18,39,1,212
user_04,2026-05-19,8,44,0,170
user_03,2026-02-28,19,10,1,100
user_01,2026-04-24,1,175,6,2535
user_04,2026-02-07,11,38,1,339
user_02,2026-02-13,10,10,2,495
user_02,2026-05-08,17,14,0,286
user_04,2026-03-07,18,5,1,197
user_02,2026-01-19,15,27,2,203
user_04,2026-06-26,12,34,1,151
user_04,2026-01-28,11,29,2,233
user_03,2026-01-06,18,30,1,54
user_01,2026-06-05,19,36,1,447
user_05,2026-04-01,11,45,0,367
user_02,2026-06-10,9,45,2,70
user_04,2026-01-09,3,183,9,2701
user_02,2026-02-21,10,39,1,321
user_03,2026-02-12,12,35,1,432
user_01,2026-04-30,9,14,0,490
user_04,2026-05-23,13,10,1,57
user_01,2026-04-27,13,48,2,394
user_04,2026-06-13,13,11,2,169
user_05,2026-05-24,4,279,6,3659
user_04,2026-01-30,10,7,0,205
user_01,2026-01-25,11,39,0,248
user_05,2026-04-18,4,257,7,4846
user_03,2026-01-09,19,28,0,277
user_02,2026-04-03,9,48,1,328
user_03,2026-01-16,14,22,0,112
user_04,2026-01-24,18,18,2,377
user_01,2026-01-13,20,26,0,114
user_02,2026-01-18,20,40,0,350
user_02,2026-03-26,20,14,2,51
user_02,2026-02-03,16,21,0,106
user_01,2026-02-03,8,27,0,351
user_02,2026-03-09,8,13,2,265
user_01,2026-05-02,15,28,2,353
user_05,2026-02-26,17,7,2,451
user_05,2026-03-19,15,46,0,81
user_04,2026-04-20,18,11,1,414
user_01,2026-01-21,13,43,0,83
user_05,2026-06-12,17,40,2,216
user_05,2026-05-16,12,34,2,359
user_01,2026-06-17,18,40,2,493
user_04,2026-02-28,14,26,1,254
user_01,2026-03-22,14,25,2,180
user_02,2026-06-25,4,124,9,4026
user_03,2026-02-03,16,8,2,337
user_01,2026-04-16,13,47,1,494
user_01,2026-03-15,17,24,1,103
user_02,2026-02-09,18,35,0,483
user_05,2026-04-05,9,22,2,165
user_05,2026-06-09,3,107,5,2119
user_03,2026-03-28,13,5,0,495
user_04,2026-01-18,10,45,0,96
user_02,2026-04-07,14,34,1,130
user_03,2026-05-26,17,10,0,129
user_05,2026-01-13,18,10,1,276
user_04,2026-06-05,15,31,1,160
user_01,2026-03-30,14,12,1,397
user_04,2026-05-15,18,24,0,162
user_05,2026-01-15,8,18,1,158
user_03,2026-03-16,13,12,0,304
user_02,2026-02-03,14,39,2,167
user_03,2026-01-19,14,7,1,59
user_01,2026-03-22,17,32,2,257
user_04,2026-03-16,9,30,0,216
user_05,2026-04-28,19,28,0,273
user_02,2026-04-22,17,30,2,90
user_03,2026-03-28,11,26,0,89
user_01,2026-05-16,16,17,1,229
user_02,2026-03-02,9,14,1,151
user_02,2026-06-17,9,16,2,302
user_05,2026-05-29,15,48,2,379
user_05,2026-03-24,4,261,6,4261
user_03,2026-06-01,8,27,2,87
user_04,2026-01-10,8,28,1,89
user_01,2026-06-07,17,37,1,286
user_01,2026-04-26,20,41,2,146
user_04,2026-05-09,10,8,1,102
user_03,2026-01-22,16,46,0,70
user_04,2026-04-23,16,38,2,131
user_03,2026-04-10,3,116,6,1387
user_05,2026-06-23,14,23,1,420
user_05,2026-02-08,13,10,2,389
user_03,2026-03-21,18,49,2,250
user_01,2026-03-21,16,29,2,455
user_02,2026-06-21,19,48,2,97
user_04,2026-05-11,13,6,1,208
user_02,2026-03-29,20,36,0,165
user_02,2026-01-20,12,11,2,444
user_05,2026-01-10,18,26,2,117
user_02,2026-02-11,10,49,2,464
user_04,2026-01-12,14,28,2,418
user_04,2026-06-06,12,33,0,323
user_04,2026-02-19,13,48,2,275
user_03,2026-04-08,16,38,1,132
user_05,2026-02-05,12,8,2,296
user_05,2026-01-27,2,169,7,4708
user_05,2026-02-07,14,10,0,468
user_03,2026-01-07,14,8,1,307
user_04,2026-01-21,13,19,0,213
user_03,2026-02-07,10,7,1,474
user_02,2026-06-30,15,33,2,52
user_01,2026-03-07,11,14,2,422
user_04,2026-01-29,20,23,0,204
user_02,2026-04-18,18,44,1,82
user_04,2026-06-02,16,6,2,313
user_02,2026-03-16,14,5,2,230
user_04,2026-02-17,18,47,0,318
user_01,2026-05-15,4,111,9,2584
user_03,2026-03-06,2,287,9,3573
user_01,2026-05-29,19,26,0,72
user_03,2026-06-14,10,48,1,406
user_02,2026-02-04,9,50,1,68
user_01,2026-02-21,8,25,1,313
user_05,2026-05-02,12,7,2,147
user_01,2026-06-17,13,22,0,459
user_04,2026-04-23,14,26,0,304
user_03,2026-05-13,5,146,8,2203
user_03,2026-01-27,9,25,2,201
user_05,2026-04-20,10,49,1,229
user_03,2026-06-07,14,22,2,455
user_01,2026-06-21,18,30,1,312
user_02,2026-01-08,10,43,2,450
user_02,2026-01-18,11,46,1,235
user_05,2026-01-09,17,14,2,280
user_03,2026-04-24,20,9,2,120
user_04,2026-03-22,2,227,8,2585
user_05,2026-01-31,12,21,2,278
user_05,2026-03-15,19,36,0,112
user_01,2026-04-26,10,50,1,94
user_03,2026-06-20,13,50,0,331
user_03,2026-02-10,19,50,2,376
user_03,2026-05-11,11,12,0,455
user_04,2026-01-07,13,40,2,238
user_05,2026-02-03,17,10,0,208
user_04,2026-05-15,14,31,2,87
user_03,2026-06-14,9,33,1,398
user_02,2026-05-22,18,42,0,443
user_04,2026-05-09,8,12,2,128
user_02,2026-03-24,19,19,1,315
user_01,2026-03-06,11,45,2,190
user_03,2026-06-07,16,10,2,378
user_05,2026-02-09,10,47,2,418
user_03,2026-05-25,8,6,0,73
user_05,2026-03-09,18,18,2,263
user_01,2026-05-08,18,39,1,378
user_04,2026-03-04,20,48,1,202
user_01,2026-02-10,15,31,1,287
user_05,2026-02-06,13,50,1,425
user_03,2026-04-13,10,28,2,337
user_02,2026-04-30,9,22,1,176
user_01,2026-03-16,14,44,1,177
user_02,2026-03-25,17,25,0,440
user_05,2026-04-30,4,229,7,4959
user_02,2026-02-25,17,27,0,75
user_05,2026-06-17,1,210,5,4614
user_03,2026-04-04,20,30,1,73
user_05,2026-05-24,5,215,10,3252
user_03,2026-06-09,18,44,0,115
user_04,2026-04-06,20,26,2,237
user_02,2026-06-04,2,282,6,4293
user_04,2026-05-13,15,14,2,313
user_05,2026-03-23,10,30,2,428
user_05,2026-03-28,16,37,2,300
user_03,2026-05-02,8,28,1,394
user_04,2026-05-30,12,49,2,63
user_03,2026-06-17,20,42,2,166
user_05,2026-05-03,10,38,2,419
user_04,2026-02-07,18,20,0,343
user_01,2026-02-18,8,33,1,264
user_02,2026-04-16,16,44,1,496
user_01,2026-06-30,10,38,0,337
user_04,2026-05-15,14,25,0,285
user_03,2026-05-20,13,48,2,398
user_03,2026-06-06,15,17,0,192
user_02,2026-03-18,20,23,2,156
user_04,2026-03-23,15,27,2,457
user_03,2026-02-01,17,48,2,244
user_04,2026-03-30,20,14,1,71
user_01,2026-03-30,15,46,1,432
user_02,2026-05-18,12,40,2,189
user_05,2026-05-31,11,20,0,392
user_02,2026-06-13,11,8,0,261
user_04,2026-01-26,18,13,0,331
user_02,2026-04-15,18,35,1,383
user_03,2026-03-24,5,159,8,4025
user_01,2026-02-14,14,16,0,478
user_04,2026-02-17,19,23,0,54
user_05,2026-01-28,13,23,1,378
user_04,2026-02-04,16,34,1,148
user_03,2026-02-11,19,34,2,181
user_01,2026-03-28,20,23,2,395
user_02,2026-06-06,18,30,1,313
user_04,2026-06-21,9,16,0,294
user_02,2026-01-02,12,29,0,278
user_03,2026-03-19,17,41,0,183
user_02,2026-01-16,18,12,1,207
user_05,2026-06-30,20,24,2,110
user_03,2026-04-05,17,19,0,118
user_04,2026-06-05,13,31,2,331
user_05,2026-06-20,11,20,2,436
user_01,2026-05-15,5,128,4,4394
user_05,2026-05-10,11,41,2,126
user_05,2026-04-24,9,48,0,417
user_01,2026-05-11,15,8,1,117
user_04,2026-05-25,8,40,1,394
user_01,2026-04-12,12,5,2,161
user_01,2026-04-19,13,49,0,327
user_01,2026-05-01,8,23,1,142
user_04,2026-04-06,5,134,9,4523
user_03,2026-01-31,10,39,1,320
user_02,2026-01-01,20,6,1,287
user_05,2026-04-19,16,29,0,176
user_02,2026-03-12,11,12,0,464
user_05,2026-01-05,11,18,0,101
user_04,2026-06-03,18,50,0,175
user_04,2026-04-23,11,39,0,436
user_01,2026-02-05,16,23,0,467
user_05,2026-03-23,17,43,2,469
user_03,2026-02-06,18,38,0,261
user_01,2026-05-23,17,16,2,397
user_04,2026-01-13,13,46,2,245
user_03,2026-06-28,14,31,0,203
user_05,2026-05-02,11,19,1,489
user_04,2026-01-15,16,31,1,335
user_04,2026-03-04,4,194,4,3193
user_02,2026-01-14,12,29,2,359
user_01,2026-02-18,20,42,2,393
user_04,2026-02-23,13,24,0,158
user_01,2026-05-03,11,49,2,410
user_02,2026-05-22,13,23,1,288
user_03,2026-03-20,12,28,2,304
user_04,2026-03-23,2,289,5,1066
user_03,2026-05-22,17,42,2,263
user_02,2026-03-26,11,29,2,476
user_05,2026-06-17,18,26,1,440
user_04,2026-04-28,10,27,0,121
user_04,2026-02-17,1,271,4,4130
user_01,2026-04-16,10,45,0,84
user_01,2026-02-25,16,34,1,80
user_05,2026-05-04,18,36,0,53
user_04,2026-01-04,8,38,2,190
user_03,2026-01-05,16,49,2,270
user_02,2026-01-28,9,38,0,173
user_05,2026-03-06,13,22,1,90
user_04,2026-04-28,17,20,2,165
user_01,2026-06-17,18,7,0,257
user_05,2026-05-02,8,45,0,409
user_04,2026-04-22,18,26,2,489
user_05,2026-01-11,11,18,2,340
user_01,2026-01-20,18,22,2,338
user_02,2026-03-22,8,18,2,123
user_04,2026-01-20,12,15,2,173
user_04,2026-06-23,16,26,1,436
user_01,2026-05-09,19,27,0,100
user_01,2026-03-29,17,44,2,253
user_03,2026-01-08,18,22,1,301
user_05,2026-04-07,14,16,2,349
user_01,2026-06-08,2,197,9,4210
user_02,2026-04-10,3,213,6,4118
user_03,2026-01-27,10,10,0,270
user_05,2026-05-12,14,11,0,95
user_01,2026-06-02,17,25,1,56
user_04,2026-01-22,19,40,0,342
user_04,2026-02-13,10,22,1,187
user_01,2026-02-12,14,22,1,203
user_01,2026-04-03,12,20,2,370
user_05,2026-02-20,4,185,10,3540
user_04,2026-03-26,15,26,1,467
user_05,2026-02-04,12,25,2,405
user_03,2026-02-15,14,25,1,426
user_04,2026-05-28,20,20,1,242
user_04,2026-04-04,9,41,0,353
user_02,2026-06-24,20,40,0,422
user_02,2026-04-23,20,23,2,85
user_04,2026-06-22,15,13,2,205
user_02,2026-04-19,20,29,0,279
user_04,2026-05-30,14,39,2,495
user_05,2026-01-10,20,28,2,465
user_01,2026-01-28,20,20,2,390
user_05,2026-01-12,17,46,2,381
user_03,2026-04-21,9,5,0,182
user_05,2026-05-23,17,49,2,163
user_04,2026-04-29,20,48,2,403
user_03,2026-01-07,15,11,1,262
user_01,2026-01-30,19,14,1,209
user_02,2026-05-14,15,27,1,99
user_04,2026-03-23,9,24,0,464
user_01,2026-03-29,18,11,2,459
user_02,2026-05-13,10,40,0,219
user_04,2026-03-01,20,30,2,144
user_04,2026-04-12,8,44,0,280
user_04,2026-01-02,19,18,0,192
user_01,2026-05-28,9,39,0,237
user_04,2026-01-30,12,47,1,320
user_03,2026-06-02,14,44,1,350
user_03,2026-04-28,17,16,2,411
user_05,2026-06-01,9,48,0,210
user_03,2026-01-30,10,28,2,122
user_04,2026-06-02,10,41,1,266
user_05,2026-06-27,18,16,2,135
user_02,2026-02-17,13,33,2,77
user_01,2026-05-05,10,17,1,337
user_04,2026-04-15,18,36,1,413
user_04,2026-02-12,9,41,0,457
user_03,2026-01-09,12,19,2,197
user_04,2026-05-25,19,36,2,311
user_01,2026-03-10,20,39,1,327
user_01,2026-04-23,16,18,1,102
user_02,2026-03-18,8,33,1,228
user_01,2026-04-23,9,20,0,465
user_03,2026-06-06,18,32,0,365
user_02,2026-02-22,20,8,2,229
user_05,2026-05-18,10,25,2,199
user_03,2026-05-12,18,11,0,434
user_01,2026-03-12,18,13,2,493
user_02,2026-03-24,11,48,1,300
user_03,2026-06-10,14,29,1,88
user_01,2026-04-14,16,22,2,499
user_04,2026-03-25,17,5,2,97
user_04,2026-06-12,5,201,5,4965
user_04,2026-02-24,15,22,1,474
user_05,2026-05-28,10,41,1,453
user_01,2026-01-12,9,45,1,58
user_02,2026-04-23,15,5,1,153
user_02,2026-06-16,12,15,1,97
user_03,2026-01-22,3,285,9,4093
user_02,2026-04-20,4,119,5,3431
user_02,2026-05-13,18,33,0,54
user_01,2026-04-19,19,13,1,86
user_01,2026-01-27,9,25,1,203
user_02,2026-06-14,18,14,0,321
user_05,2026-06-16,10,33,1,419
user_02,2026-04-16,17,48,1,490
user_01,2026-02-05,20,12,2,423
user_04,2026-03-22,20,13,0,191
user_02,2026-05-22,17,43,2,361
user_01,2026-06-18,12,18,2,360
user_04,2026-03-17,18,8,0,303
user_02,2026-05-08,18,43,0,320
